id_sistema,sistema,regra,prob_alta_perf
1257277410380486863,Sistema A,dias <= 826,0.7234024745776897
1257277410380486863,Sistema A,dias > 826,0.6730301788884337
3094574413675758272,Sistema B,dias <= 314,0.766901166781057
3094574413675758272,Sistema B,dias > 314,0.7039586431555839
4458959843028638627,Sistema C,dias > 428,0.7289603960396039
4458959843028638627,Sistema C,dias <= 428,0.7077013984636596
13742676811738960007,Sistema E,dias > 208,0.780622399904325
13742676811738960007,Sistema E,dias <= 208,0.7311206516952884
18313131241423355789,Sistema F,dias <= 604,0.7541062801932367
18313131241423355789,Sistema F,dias > 604,0.7336061673170268
